               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.035882,            0.029855,            0.001843,             0.54771,             0.61477,             0.63563,             0.30946,            0.030387,            0.014788,           0.0053768,            0.005149,            0.005149,            0.005149
                  51,            0.035376,            0.029864,           0.0017529,             0.58766,             0.65018,             0.65715,             0.30726,            0.030127,            0.014859,           0.0059997,             0.00505,             0.00505,             0.00505
                  52,             0.03535,            0.029026,           0.0014237,             0.57617,             0.64328,             0.65124,              0.3171,            0.030056,            0.014723,           0.0025057,            0.004951,            0.004951,            0.004951
                  53,            0.035153,            0.029366,           0.0013705,             0.60173,             0.67195,             0.67358,             0.32409,            0.030641,            0.014411,           0.0059408,            0.004852,            0.004852,            0.004852
                  54,            0.035122,            0.028492,           0.0012579,             0.62741,             0.66028,              0.6883,             0.33535,            0.030221,            0.014514,           0.0075526,            0.004753,            0.004753,            0.004753
                  55,            0.034901,            0.029141,           0.0016342,             0.57916,             0.62986,             0.62782,             0.28964,            0.031233,            0.014688,           0.0030973,            0.004654,            0.004654,            0.004654
                  56,            0.034843,            0.030197,           0.0012898,             0.61074,              0.6837,             0.69443,              0.3293,            0.029996,            0.014507,            0.010822,            0.004555,            0.004555,            0.004555
                  57,            0.034572,              0.0295,           0.0015236,             0.56673,             0.60077,             0.60074,             0.29143,             0.03043,            0.014791,           0.0090509,            0.004456,            0.004456,            0.004456
                  58,            0.034433,            0.029134,           0.0015003,             0.59933,             0.67711,             0.66881,             0.31612,            0.030125,            0.014379,           0.0069169,            0.004357,            0.004357,            0.004357
                  59,            0.034376,            0.028637,           0.0014347,             0.59609,             0.67709,             0.66622,             0.31368,            0.030866,            0.014448,           0.0079101,            0.004258,            0.004258,            0.004258
                  60,            0.033778,            0.028444,            0.001645,             0.60786,             0.66813,             0.69296,             0.33239,            0.029605,            0.014477,           0.0051397,            0.004159,            0.004159,            0.004159
                  61,            0.034661,             0.02956,           0.0018627,             0.59644,             0.64548,             0.66872,             0.32303,            0.028614,            0.014589,           0.0071599,             0.00406,             0.00406,             0.00406
