               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.032872,            0.028225,           0.0015293,             0.64371,             0.65135,             0.67675,             0.34233,            0.028679,            0.014777,           0.0059312,            0.004951,            0.004951,            0.004951
                  53,            0.032921,            0.028481,           0.0014742,             0.61353,             0.66912,               0.678,             0.33521,            0.029825,            0.015117,           0.0088756,            0.004852,            0.004852,            0.004852
                  54,            0.032676,            0.027484,            0.001247,             0.65963,             0.67978,             0.70316,             0.35516,            0.029429,            0.014715,           0.0095799,            0.004753,            0.004753,            0.004753
                  55,            0.032341,             0.02786,           0.0014044,             0.60149,             0.67311,             0.65105,             0.30674,            0.029946,            0.015099,           0.0066227,            0.004654,            0.004654,            0.004654
                  56,            0.032424,            0.029011,           0.0011954,             0.60824,             0.69556,             0.68217,             0.33268,            0.029555,            0.014804,           0.0090646,            0.004555,            0.004555,            0.004555
                  57,            0.032063,            0.028014,           0.0012724,             0.64154,             0.67617,              0.6834,             0.34812,            0.029239,            0.014955,            0.014319,            0.004456,            0.004456,            0.004456
                  58,            0.031674,            0.027873,           0.0011909,             0.59586,             0.61912,             0.63631,             0.31732,            0.030756,            0.015591,            0.010033,            0.004357,            0.004357,            0.004357
                  59,            0.031815,            0.027465,           0.0011499,              0.6053,             0.68268,             0.65607,              0.3241,            0.030203,            0.015021,           0.0047915,            0.004258,            0.004258,            0.004258
                  60,            0.031612,            0.027285,           0.0012959,             0.61578,             0.67032,             0.67441,             0.33752,            0.028988,            0.015026,           0.0076769,            0.004159,            0.004159,            0.004159
                  61,            0.032528,            0.028412,           0.0016624,             0.58288,             0.71926,              0.6802,             0.34453,            0.028277,            0.014728,            0.007655,             0.00406,             0.00406,             0.00406
                  62,            0.031581,            0.027584,           0.0011953,             0.65889,              0.6602,             0.69391,             0.34235,            0.028953,            0.014782,           0.0063251,            0.003961,            0.003961,            0.003961
                  63,            0.030741,            0.027576,            0.001135,             0.62575,             0.68398,             0.68497,             0.35299,            0.029395,              0.0146,            0.010959,            0.003862,            0.003862,            0.003862
                  64,             0.03116,            0.028309,           0.0010573,             0.63602,             0.70207,             0.69581,             0.34276,             0.02924,            0.015004,           0.0087884,            0.003763,            0.003763,            0.003763
                  65,            0.030749,            0.027178,           0.0011874,             0.57709,             0.66267,             0.63399,             0.31165,            0.029604,            0.014961,           0.0090549,            0.003664,            0.003664,            0.003664
                  66,            0.031367,            0.028193,           0.0010314,             0.59671,             0.64306,             0.65099,             0.33131,            0.029016,            0.015444,            0.011322,            0.003565,            0.003565,            0.003565
                  67,            0.031156,            0.027399,          0.00090561,             0.59558,             0.69593,              0.6709,             0.34098,            0.028667,            0.015024,            0.012122,            0.003466,            0.003466,            0.003466
                  68,            0.030918,            0.027564,           0.0010916,             0.62986,             0.66676,             0.67396,             0.33569,            0.029749,             0.01526,           0.0055832,            0.003367,            0.003367,            0.003367
                  69,            0.030598,            0.027347,          0.00084723,             0.63057,             0.70281,             0.69354,             0.35111,            0.029433,            0.014746,           0.0098943,            0.003268,            0.003268,            0.003268
                  70,            0.029883,            0.026083,           0.0012479,             0.61321,             0.70642,             0.67479,             0.34102,            0.028808,             0.01498,           0.0076034,            0.003169,            0.003169,            0.003169
