               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.037244,            0.030351,           0.0019716,             0.60044,             0.68098,             0.67466,             0.32472,            0.030801,            0.014519,           0.0035273,            0.003169,            0.003169,            0.003169
                  71,            0.036882,             0.03183,           0.0019382,             0.61863,               0.666,             0.68016,             0.32162,            0.031386,            0.014314,           0.0032681,             0.00307,             0.00307,             0.00307
                  72,            0.037314,            0.031658,           0.0018347,             0.63655,             0.65909,             0.68649,             0.32998,            0.029905,            0.014366,           0.0033736,            0.002971,            0.002971,            0.002971
                  73,             0.03794,              0.0306,           0.0018901,             0.63082,              0.6854,             0.68689,              0.3298,            0.031086,            0.014208,           0.0035045,            0.002872,            0.002872,            0.002872
                  74,            0.037152,            0.031527,           0.0021155,             0.63003,             0.68366,             0.67766,             0.31907,            0.030996,            0.014549,           0.0032543,            0.002773,            0.002773,            0.002773
                  75,            0.037345,              0.0319,           0.0020942,             0.61959,              0.6746,             0.69961,              0.3367,            0.029862,            0.014614,           0.0037088,            0.002674,            0.002674,            0.002674
                  76,             0.03667,            0.031492,           0.0013516,             0.60688,             0.65982,             0.65957,             0.30772,            0.031367,             0.01449,           0.0034524,            0.002575,            0.002575,            0.002575
                  77,            0.036897,            0.031487,           0.0017052,             0.60589,             0.66229,             0.68352,             0.33003,            0.031651,             0.01446,            0.005286,            0.002476,            0.002476,            0.002476
                  78,            0.036935,            0.031605,            0.001859,             0.58574,             0.70194,              0.6775,             0.31355,            0.031631,            0.014343,           0.0057384,            0.002377,            0.002377,            0.002377
                  79,            0.036749,            0.031244,            0.001491,             0.61475,             0.68048,             0.68986,             0.32784,            0.030576,            0.014263,           0.0029241,            0.002278,            0.002278,            0.002278
                  80,            0.036283,            0.030746,           0.0013203,             0.61314,             0.69389,             0.68046,             0.32599,            0.030097,            0.014438,           0.0038262,            0.002179,            0.002179,            0.002179
                  81,            0.036401,            0.030621,           0.0017137,             0.59742,             0.68731,             0.68033,             0.32742,            0.030646,            0.014513,            0.003674,             0.00208,             0.00208,             0.00208
                  82,             0.03597,            0.030292,            0.001985,             0.60736,             0.67473,              0.6873,             0.32239,            0.031542,            0.014317,            0.005094,            0.001981,            0.001981,            0.001981
                  83,            0.035829,            0.031251,           0.0018713,             0.65739,             0.70311,             0.70547,             0.33972,            0.030554,            0.014392,           0.0033026,            0.001882,            0.001882,            0.001882
